key,en,de,es
LANGUAGE,Language,Sprache,Idioma
CONFIRM,Confirm,Bestätigen,Confirmar
LANG_EN,English,Englisch,Inglés
LANG_DE,German,Deutsch,Alemán
LANG_ES,Spanish,Spanisch,Español
BY,by,von,de
PLAY,Play,Spielen,Jugar
OPTIONS,Options,Optionen,Opciones
CREDITS,Credits,Credits,Créditos
EXIT,Exit,Beenden,Salir
PAUSED,Paused,Pausiert,Pausado
CONTINUE,Continue,Fortsetzen,Continuar
RESTART,Restart,Neustarten,Reiniciar
MAIN_MENU,Main Menu,Hauptmenü,Menú Principal
BACK,Back,Zurück,Volver
URL_OPENED,URL opened!,URL geöffnet!,¡URL abierta!
CHOOSE,Choose,Auswählen,Elegir
UI_ACCEPT,Confirm,Bestätigen,Confirmar
UI_CANCEL,Back,Zurück,Volver
UI_LEFT,Left,Links,Izquierda
UI_RIGHT,Right,Rechts,Derecha
UI_UP,Up,Oben,Arriba
UI_DOWN,Down,Unten,Abajo
PAUSE_GAME,Pause,Pausieren,Pausar
